11/20/2015,00:00,DFW,52525,500
11/21/2015,00:00,HOU,45577,500
11/22/2015,00:00,DFW,65902,500
11/23/2015,00:00,HOU,56210,500
11/24/2015,00:00,HOU,65528,500
11/25/2015,00:00,AUS,28393,500
11/26/2015,00:00,AUS,96120,500
11/27/2015,00:00,HOU,72136,500
11/28/2015,00:00,HOU,68944,500
11/29/2015,00:00,HOU,72733,500
11/30/2015,00:00,DFW,10127,500
12/01/2015,00:00,HOU,53900,500
12/02/2015,00:00,DFW,47391,500
12/03/2015,00:00,HOU,63506,500
12/04/2015,00:00,DFW,14994,500
12/05/2015,00:00,HOU,79708,500
12/06/2015,00:00,AUS,61740,500
12/07/2015,00:00,AUS,80775,500
12/08/2015,00:00,HOU,79570,500
12/09/2015,00:00,DFW,83171,500
12/10/2015,00:00,DFW,23642,500
12/11/2015,00:00,AUS,50557,500
12/12/2015,00:00,DFW,89919,500
12/13/2015,00:00,HOU,65107,500
12/14/2015,00:00,HOU,13179,500
12/15/2015,00:00,HOU,57252,500
12/16/2015,00:00,DFW,89197,500
12/17/2015,00:00,HOU,21260,500
12/18/2015,00:00,HOU,45836,500
12/19/2015,00:00,AUS,74691,500
12/20/2015,00:00,HOU,77329,500
12/21/2015,00:00,HOU,58236,500
12/22/2015,00:00,DFW,70861,500
12/23/2015,00:00,AUS,15966,500
12/24/2015,00:00,HOU,32954,500
12/25/2015,00:00,DFW,49196,500
12/26/2015,00:00,AUS,37720,500
12/27/2015,00:00,DFW,39001,500
12/28/2015,00:00,DFW,55508,500
12/29/2015,00:00,HOU,59152,500
12/30/2015,00:00,HOU,74461,500
12/31/2015,00:00,DFW,90838,500
01/01/2016,00:00,AUS,56535,500
01/02/2016,00:00,DFW,90289,500
01/03/2016,00:00,AUS,72158,500
01/04/2016,00:00,HOU,22973,500
01/05/2016,00:00,DFW,33816,500
01/06/2016,00:00,HOU,38713,500
01/07/2016,00:00,HOU,62077,500
01/08/2016,00:00,AUS,23276,500
01/09/2016,00:00,HOU,40613,500
01/10/2016,00:00,DFW,82811,500
01/11/2016,00:00,AUS,25702,500
01/12/2016,00:00,DFW,99929,500
01/13/2016,00:00,HOU,44806,500
01/14/2016,00:00,DFW,84983,500
01/15/2016,00:00,AUS,12035,500
01/16/2016,00:00,AUS,33715,500
01/17/2016,00:00,HOU,77762,500
01/18/2016,00:00,AUS,32438,500
01/19/2016,00:00,AUS,61669,500
01/20/2016,00:00,AUS,90744,500
01/21/2016,00:00,AUS,19257,500
01/22/2016,00:00,AUS,61338,500
01/23/2016,00:00,DFW,33950,500
01/24/2016,00:00,AUS,68507,500
01/25/2016,00:00,HOU,73369,500
01/26/2016,00:00,HOU,27507,500
01/27/2016,00:00,AUS,73748,500
01/28/2016,00:00,HOU,55032,500
01/29/2016,00:00,AUS,37644,500
01/30/2016,00:00,HOU,18286,500
01/31/2016,00:00,AUS,25366,500
02/01/2016,00:00,HOU,88561,500
02/02/2016,00:00,HOU,50474,500
02/03/2016,00:00,AUS,76467,500
02/04/2016,00:00,AUS,79694,500
02/05/2016,00:00,DFW,73024,500
02/06/2016,00:00,DFW,98849,500
02/07/2016,00:00,AUS,43183,500
02/08/2016,00:00,DFW,80162,500
02/09/2016,00:00,AUS,94659,500
02/10/2016,00:00,AUS,68985,500
02/11/2016,00:00,AUS,36852,500
02/12/2016,00:00,AUS,86277,500
02/13/2016,00:00,HOU,15069,500
02/14/2016,00:00,AUS,60035,500
02/15/2016,00:00,AUS,36260,500
02/16/2016,00:00,DFW,38226,500
02/17/2016,00:00,DFW,65659,500
02/18/2016,00:00,DFW,82093,500
02/19/2016,00:00,DFW,56169,500
02/20/2016,00:00,HOU,45852,500
02/21/2016,00:00,HOU,97873,500
02/22/2016,00:00,AUS,40849,500
02/23/2016,00:00,HOU,28318,500
02/24/2016,00:00,DFW,61085,500
02/25/2016,00:00,DFW,97819,500
02/26/2016,00:00,DFW,84671,500
02/27/2016,00:00,DFW,72756,500
02/28/2016,00:00,HOU,39679,500
02/29/2016,00:00,HOU,78354,500
03/01/2016,00:00,DFW,77040,500
03/02/2016,00:00,HOU,21970,500
03/03/2016,00:00,AUS,72620,500
03/04/2016,00:00,HOU,82129,500
03/05/2016,00:00,DFW,44878,500
03/06/2016,00:00,HOU,34760,500
03/07/2016,00:00,DFW,44449,500
03/08/2016,00:00,DFW,76351,500
03/09/2016,00:00,DFW,48623,500
03/10/2016,00:00,AUS,53056,500
03/11/2016,00:00,DFW,88963,500
03/12/2016,00:00,DFW,40222,500
03/13/2016,00:00,DFW,85551,500
03/14/2016,00:00,AUS,46597,500
03/15/2016,00:00,DFW,44947,500
03/16/2016,00:00,AUS,88674,500
03/17/2016,00:00,HOU,27051,500
03/18/2016,00:00,DFW,79802,500
03/19/2016,00:00,HOU,94321,500
03/20/2016,00:00,DFW,25864,500
03/21/2016,00:00,HOU,72956,500
03/22/2016,00:00,AUS,73617,500
03/23/2016,00:00,HOU,53495,500
03/24/2016,00:00,DFW,96034,500
03/25/2016,00:00,DFW,69000,500
03/26/2016,00:00,HOU,26479,500
03/27/2016,00:00,DFW,41683,500
03/28/2016,00:00,HOU,40385,500
03/29/2016,00:00,DFW,55408,500
03/30/2016,00:00,HOU,11742,500
03/31/2016,00:00,DFW,98107,500
04/01/2016,00:00,HOU,26986,500
04/02/2016,00:00,HOU,29438,500
04/03/2016,00:00,AUS,73315,500
04/04/2016,00:00,AUS,13509,500
04/05/2016,00:00,DFW,79760,500
04/06/2016,00:00,AUS,92107,500
04/07/2016,00:00,HOU,18578,500
04/08/2016,00:00,AUS,60972,500
04/09/2016,00:00,AUS,15188,500
04/10/2016,00:00,AUS,78579,500
04/11/2016,00:00,DFW,95651,500
04/12/2016,00:00,HOU,39663,500
04/13/2016,00:00,AUS,24371,500
04/14/2016,00:00,AUS,33584,500
04/15/2016,00:00,AUS,10267,500
04/16/2016,00:00,DFW,87615,500
04/17/2016,00:00,HOU,54230,500
04/18/2016,00:00,AUS,75929,500
04/19/2016,00:00,DFW,13081,500
04/20/2016,00:00,DFW,32110,500
04/21/2016,00:00,DFW,57733,500
04/22/2016,00:00,AUS,33758,500
04/23/2016,00:00,DFW,58609,500
04/24/2016,00:00,HOU,45690,500
04/25/2016,00:00,HOU,92106,500
04/26/2016,00:00,AUS,79876,500
04/27/2016,00:00,DFW,88471,500
04/28/2016,00:00,DFW,44895,500
04/29/2016,00:00,DFW,65044,500
04/30/2016,00:00,AUS,44363,500
05/01/2016,00:00,HOU,32095,500
05/02/2016,00:00,DFW,61459,500
05/03/2016,00:00,AUS,85600,500
05/04/2016,00:00,AUS,79850,500
05/05/2016,00:00,DFW,17426,500
05/06/2016,00:00,HOU,82255,500
05/07/2016,00:00,AUS,65319,500
05/08/2016,00:00,AUS,56007,500
05/09/2016,00:00,HOU,73402,500
05/10/2016,00:00,DFW,38809,500
05/11/2016,00:00,AUS,97301,500
05/12/2016,00:00,HOU,76892,500
05/13/2016,00:00,AUS,79072,500
05/14/2016,00:00,AUS,39089,500
05/15/2016,00:00,HOU,36758,500
05/16/2016,00:00,AUS,91546,500
05/17/2016,00:00,DFW,93317,500
05/18/2016,00:00,DFW,34128,500
05/19/2016,00:00,HOU,37687,500
05/20/2016,00:00,DFW,11217,500
05/21/2016,00:00,HOU,29662,500
05/22/2016,00:00,AUS,28923,500
05/23/2016,00:00,HOU,44988,500
05/24/2016,00:00,AUS,58586,500
05/25/2016,00:00,DFW,50969,500
05/26/2016,00:00,AUS,18289,500
05/27/2016,00:00,DFW,63206,500
05/28/2016,00:00,DFW,62803,500
05/29/2016,00:00,HOU,54147,500
05/30/2016,00:00,AUS,31906,500
05/31/2016,00:00,DFW,99815,500
06/01/2016,00:00,HOU,95715,500
06/02/2016,00:00,AUS,81106,500
06/03/2016,00:00,DFW,16167,500
06/04/2016,00:00,HOU,98431,500
06/05/2016,00:00,HOU,11219,500
06/06/2016,00:00,HOU,25605,500
06/07/2016,00:00,HOU,29147,500
06/08/2016,00:00,DFW,66411,500
06/09/2016,00:00,AUS,67000,500
06/10/2016,00:00,DFW,81238,500
06/11/2016,00:00,DFW,69894,500
06/12/2016,00:00,DFW,16018,500
06/13/2016,00:00,DFW,63351,500
06/14/2016,00:00,AUS,83859,500
06/15/2016,00:00,DFW,53730,500
06/16/2016,00:00,AUS,57892,500
06/17/2016,00:00,DFW,20780,500
06/18/2016,00:00,HOU,15413,500
06/19/2016,00:00,HOU,18671,500
06/20/2016,00:00,HOU,16781,500
06/21/2016,00:00,HOU,72912,500
06/22/2016,00:00,HOU,10391,500
06/23/2016,00:00,HOU,17157,500
06/24/2016,00:00,HOU,95204,500
06/25/2016,00:00,HOU,85652,500
06/26/2016,00:00,AUS,66867,500
06/27/2016,00:00,DFW,44447,500
06/28/2016,00:00,DFW,77508,500
06/29/2016,00:00,DFW,31281,500
06/30/2016,00:00,HOU,30574,500
07/01/2016,00:00,HOU,45580,500
07/02/2016,00:00,HOU,70389,500
07/03/2016,00:00,AUS,60370,500
07/04/2016,00:00,HOU,11623,500
07/05/2016,00:00,DFW,92232,500
07/06/2016,00:00,HOU,17164,500
07/07/2016,00:00,HOU,34103,500
07/08/2016,00:00,AUS,82716,500
07/09/2016,00:00,AUS,67076,500
07/10/2016,00:00,DFW,65617,500
07/11/2016,00:00,AUS,67148,500
07/12/2016,00:00,AUS,98268,500
07/13/2016,00:00,HOU,62717,500
07/14/2016,00:00,DFW,59156,500
07/15/2016,00:00,HOU,63812,500
07/16/2016,00:00,DFW,64043,500
07/17/2016,00:00,HOU,31266,500
07/18/2016,00:00,HOU,93212,500
07/19/2016,00:00,DFW,35993,500
07/20/2016,00:00,DFW,91341,500
07/21/2016,00:00,AUS,67311,500
07/22/2016,00:00,DFW,75169,500
07/23/2016,00:00,DFW,92950,500
07/24/2016,00:00,HOU,87702,500
07/25/2016,00:00,HOU,60786,500
07/26/2016,00:00,DFW,38906,500
07/27/2016,00:00,DFW,72981,500
07/28/2016,00:00,HOU,62577,500
07/29/2016,00:00,DFW,80115,500
07/30/2016,00:00,AUS,51584,500
07/31/2016,00:00,AUS,50699,500
